method,seed,success,message,objective_cost,route_duration_minutes,travel_minutes,service_minutes,handling_minutes,monetary_cost,lateness_minutes,late_deliveries,bridge_crossings,mode_transfers,boat_legs,cart_legs,van_legs,delivered_count,num_deliveries,expanded_route_length,solve_time_seconds
earliest_tw,17,True,ok,1805.2692499212342,474.5280108111134,343.3592435839207,60.0,20.0,26.0,213.49544674091283,5,28,2,0,24,2,15,15,26,0.007719542001723312
ortools_none,17,True,ok,2464.6919134716773,376.30443701289005,129.61600788617469,60.0,20.0,26.0,374.84705159046837,4,10,2,0,17,2,15,15,19,10.008881749992725
ortools_soft,17,True,ok,611.0446455095532,359.5408871003814,167.38155101337694,60.0,20.0,26.0,9.146662971796218,1,13,2,0,16,2,15,15,18,10.008605124996393
ortools_strict,17,True,ok (EDD fallback),1805.2692499212342,474.5280108111134,343.3592435839207,60.0,20.0,26.0,213.49544674091283,5,28,2,0,24,2,15,15,26,0.019886458001565188
random,18,True,ok,17454.261558554903,895.703965828011,618.1811688317149,60.0,115.0,1401.4840526521298,2941.8443114321494,12,51,8,32,33,1,15,15,66,0.010716874996433035
nearest_neighbor,18,True,ok,9654.148569020645,510.8066095569711,215.55612504007624,60.0,20.0,26.0,1772.3877309370378,12,12,2,0,18,2,15,15,20,0.008408041001530364
earliest_tw,18,True,ok,3402.6344599968656,517.1136632210668,401.8083131804782,60.0,20.0,26.0,520.1927930330531,8,30,2,0,25,2,15,15,27,0.008320417007780634
ortools_none,18,True,ok,11050.536821375383,518.3208180859334,223.07033356903855,60.0,20.0,26.0,2049.411118849297,13,12,2,0,16,2,15,15,18,10.00910166700487
ortools_soft,18,True,ok,645.153195545355,378.37470828646826,263.0693582458797,60.0,20.0,26.0,10.3182266231305,1,19,2,0,18,2,15,15,20,10.009121666997089
ortools_strict,18,True,ok (EDD fallback),3402.6344599968656,517.1136632210668,401.8083131804782,60.0,20.0,26.0,520.1927930330531,8,30,2,0,25,2,15,15,27,0.026394499989692122
random,19,True,ok,21198.82024005427,1016.7699290269161,621.1151439263834,60.0,210.0,895.2253172333532,3755.688005856109,14,61,13,18,41,0,15,15,59,0.010040584005764686
nearest_neighbor,19,True,ok,10976.46387249998,549.3565860592889,182.08344191805458,60.0,20.0,26.0,2025.2857986822096,13,15,2,0,24,2,15,15,26,0.008618375009973533
earliest_tw,19,True,ok,923.4521104375694,412.6706895341906,308.5954943101791,60.0,20.0,26.0,55.68921522725668,4,25,2,0,26,2,15,15,28,0.008561958995414898
ortools_none,19,True,ok,11784.494726494611,527.7768673067645,160.50372316553023,60.0,20.0,26.0,2193.3658851068935,14,11,2,0,19,2,15,15,21,10.009039083000971
ortools_soft,19,True,ok,513.0593305298853,324.70622035325687,202.66919066406786,60.0,20.0,26.0,0.0,0,16,2,0,21,2,15,15,23,10.009283250008593
ortools_strict,19,True,ok (EDD fallback),923.4521104375694,412.6706895341906,308.5954943101791,60.0,20.0,26.0,55.68921522725668,4,25,2,0,26,2,15,15,28,0.019004374989890493
random,20,True,ok,18149.631429319066,878.5107909149701,539.8538552924432,60.0,210.0,2383.9591788386992,2889.581212821583,12,36,13,56,28,0,15,15,84,0.013371791996178217
nearest_neighbor,20,True,ok,5962.225879459978,446.4330054903662,197.26384892688668,60.0,20.0,26.0,1053.3152742448858,12,15,2,0,18,2,15,15,20,0.008167499996488914
earliest_tw,20,True,ok,693.898801695967,411.42955669018943,331.42955669018966,60.0,20.0,26.0,10.150893332136548,1,30,2,0,30,2,15,15,32,0.008227790996897966
ortools_none,20,True,ok,7636.764863612573,444.8650332482873,182.4747532430094,60.0,20.0,26.0,1388.6934627480287,11,12,2,0,17,2,15,15,19,10.008737665993976
ortools_soft,20,True,ok,636.942172683481,363.42318514160695,228.12428491966136,60.0,20.0,26.0,13.161478994214121,1,19,2,0,22,2,15,15,24,10.008889207994798
ortools_strict,20,True,ok (EDD fallback),693.898801695967,411.42955669018943,331.42955669018966,60.0,20.0,26.0,10.150893332136548,1,30,2,0,30,2,15,15,32,0.043088916994747706
random,21,True,ok,20444.654139516977,862.1985286021634,470.05789414791667,60.0,150.0,928.4157201121811,3644.5881253003104,12,35,9,17,28,0,15,15,45,0.007296833005966619
nearest_neighbor,21,True,ok,9975.014692240393,485.4352613429272,133.3941380669235,60.0,20.0,26.0,1844.1723600452008,10,7,2,0,18,2,15,15,20,0.008152374997735023
earliest_tw,21,True,ok,659.5896412777627,422.3930941851751,342.39309418517496,60.0,20.0,26.0,0.0,0,21,2,0,25,2,15,15,27,0.007999708002898842
ortools_none,21,True,ok,6594.487533700298,420.9011567740839,149.77851376492086,60.0,20.0,26.0,1187.4271597078346,8,6,2,0,18,2,15,15,20,10.00884558299731
ortools_soft,21,True,ok,863.0386663473082,401.6778450403274,252.95711488200286,60.0,20.0,26.0,46.90437975736347,3,13,2,0,23,2,15,15,25,10.008917415994802
ortools_strict,21,True,ok (EDD fallback),659.5896412777627,422.3930941851751,342.39309418517496,60.0,20.0,26.0,0.0,0,21,2,0,25,2,15,15,27,0.02836850000312552
random,22,True,ok,53997.48008679292,1158.2683029850402,623.6746262826625,60.0,240.0,2446.938468681211,9962.627832726834,14,46,15,58,34,0,15,15,92,0.014903167000738904
nearest_neighbor,22,True,ok,10375.527957490101,533.3483914886725,165.73139626642094,60.0,20.0,26.0,1909.901074051419,10,12,2,0,18,2,15,15,20,0.00834504199156072
earliest_tw,22,True,ok,921.3332203867892,516.0679022093504,391.2950522930096,60.0,20.0,26.0,24.24627341455266,1,30,2,0,29,2,15,15,31,0.008328875002916902
ortools_none,22,True,ok,11019.62986357982,536.6975121980827,169.08051697583122,60.0,20.0,26.0,2037.7167190565392,10,11,2,0,16,2,15,15,18,10.008680917002494
ortools_soft,22,True,ok,727.3294651626336,427.5853548679826,222.85465408930898,60.0,20.0,26.0,11.990286572131936,1,16,2,0,19,2,15,15,21,10.009126499993727
ortools_strict,22,True,ok (EDD fallback),921.3332203867892,516.0679022093504,391.2950522930096,60.0,20.0,26.0,24.24627341455266,1,30,2,0,29,2,15,15,31,0.024887999999918975
random,23,True,ok,23202.850340671313,859.4244391897757,525.2739727399398,60.0,180.0,1437.8110949757775,4095.1805173821735,13,46,11,32,27,0,15,15,59,0.00998937500116881
