method,seed,success,message,objective_cost,route_duration_minutes,travel_minutes,service_minutes,handling_minutes,monetary_cost,lateness_minutes,late_deliveries,bridge_crossings,mode_transfers,boat_legs,cart_legs,van_legs,delivered_count,num_deliveries,expanded_route_length,solve_time_seconds
earliest_tw,12,True,ok,2421.5652158722996,608.6154212477779,426.23857050171785,60.0,20.0,26.0,296.5284168001265,4,38,2,0,31,2,15,15,33,0.008604707996710204
ml_ranker,12,True,ok,853.165197676042,506.43716825660124,287.24095673298535,60.0,20.0,26.0,13.501889058228016,1,21,2,0,24,2,15,15,26,0.009307041997089982
ortools_soft,12,True,ok,868.3189063601999,435.79758876880464,230.18078868824955,60.0,20.0,26.0,37.72450464139854,2,16,2,0,22,2,15,15,24,10.009366125013912
random,13,True,ok,17467.061293175248,937.9513189316172,648.4659876110783,60.0,180.0,2332.94383439373,2745.438096076819,10,47,11,53,27,0,15,15,80,0.012354375008726493
nearest_neighbor,13,True,ok,12416.86147523065,568.9083015359238,217.72968586005788,60.0,20.0,26.0,2307.499804585353,12,13,2,0,20,2,15,15,22,0.007962708012200892
earliest_tw,13,True,ok,1997.6402445934195,527.7123535390035,447.7123535390036,60.0,20.0,26.0,236.0143428569828,5,26,2,0,24,2,15,15,26,0.007805125002050772
ml_ranker,13,True,ok,1099.4068361199243,468.9616867670194,319.544587488147,60.0,20.0,26.0,73.99286119387898,4,22,2,0,22,2,15,15,24,0.00849999999627471
ortools_soft,13,True,ok,1292.080021249476,448.43943088741923,272.8882536417994,60.0,20.0,26.0,118.68417498366944,4,17,2,0,21,2,15,15,23,10.008498625000357
random,14,True,ok,17046.689951119686,902.0133293274346,658.6152124449771,60.0,180.0,1159.2306910561067,2906.887853214486,10,55,11,23,36,0,15,15,59,0.010406125002191402
nearest_neighbor,14,True,ok,6470.601708406435,539.4274002851058,194.14579332994037,60.0,20.0,26.0,1127.0921215957553,8,19,2,0,20,2,15,15,22,0.008503040997311473
earliest_tw,14,True,ok,1017.4697917708429,486.2734087154914,320.8877374540213,60.0,20.0,26.0,52.41193573952114,2,27,2,0,21,2,15,15,23,0.008353791999979876
ml_ranker,14,True,ok,859.8711955936267,511.9093266589683,321.5274038608495,60.0,20.0,26.0,13.201441121034804,1,27,2,0,21,2,15,15,23,0.009069249994354323
ortools_soft,14,True,ok,1027.7930085506262,453.25362110191134,223.74108097181133,60.0,20.0,26.0,64.38251537955182,2,20,2,0,17,2,15,15,19,10.00905624999723
random,15,True,ok,24912.036619888713,920.8024136863951,471.6350386001648,60.0,115.0,846.1158027666145,4536.943439318501,13,42,8,19,26,1,15,15,46,0.008470208995277062
nearest_neighbor,15,True,ok,7553.324285288547,491.64860224687914,185.5556690838433,60.0,20.0,26.0,1357.9702763836453,9,13,2,0,21,2,15,15,23,0.008712292008567601
earliest_tw,15,True,ok,1735.1020165770155,534.4273946864566,408.4788382746356,60.0,20.0,26.0,181.49218490946612,3,29,2,0,32,2,15,15,34,0.008672625001054257
ml_ranker,15,True,ok,1724.870525676553,482.9392627632993,301.0848178677576,60.0,20.0,26.0,194.8923263063208,4,22,2,0,24,2,15,15,26,0.009312957990914583
ortools_soft,15,True,ok,1174.3635223627837,462.1253153398752,243.59881973251572,60.0,20.0,26.0,91.03510987059417,3,16,2,0,20,2,15,15,22,10.009345250000479
random,16,True,ok,24226.958562164207,1051.4510165234167,562.3250118235997,60.0,240.0,1446.4978893473594,4240.656829606344,10,49,15,31,34,0,15,15,65,0.01036450000538025
nearest_neighbor,16,True,ok,7884.888863215893,547.1698322085392,246.02261102886146,60.0,20.0,26.0,1407.6268229806171,8,18,2,0,23,2,15,15,25,0.008420833008131012
earliest_tw,16,True,ok,803.7982984605082,460.4218559327737,380.42185593277406,60.0,20.0,26.0,17.433102912269533,2,33,2,0,29,2,15,15,31,0.008376249999855645
ml_ranker,16,True,ok,693.1674525610874,444.7783017073916,274.23779990003254,60.0,20.0,26.0,0.0,0,22,2,0,21,2,15,15,23,0.009159124994766898
ortools_soft,16,True,ok,680.538532872227,410.37524072891733,223.32708335827482,60.0,20.0,26.0,7.7951343557701875,1,20,2,0,19,2,15,15,21,10.009097916990868
random,17,True,ok,48213.64451845299,1183.2880427710588,699.7351939563135,60.0,180.0,3508.299770614281,8586.082536736427,14,48,11,78,30,0,15,15,108,0.015518582993536256
nearest_neighbor,17,True,ok,4832.174925783273,487.50819180924987,192.09407982847657,60.0,20.0,26.0,814.9825276138795,9,16,2,0,19,2,15,15,21,0.007708916993578896
earliest_tw,17,True,ok,1805.2692499212342,474.5280108111134,343.3592435839207,60.0,20.0,26.0,213.49544674091283,5,28,2,0,24,2,15,15,26,0.007649415987543762
ml_ranker,17,True,ok,949.3644493484167,406.3537798802887,218.81370911343947,60.0,20.0,26.0,62.76675590559671,3,20,2,0,20,2,15,15,22,0.008495957998093218
ortools_soft,17,True,ok,611.0446455095532,359.5408871003814,167.38155101337694,60.0,20.0,26.0,9.146662971796218,1,13,2,0,16,2,15,15,18,10.00855299999239
random,18,True,ok,17454.261558554903,895.703965828011,618.1811688317149,60.0,115.0,1401.4840526521298,2941.8443114321494,12,51,8,32,33,1,15,15,66,0.010550499995588325
nearest_neighbor,18,True,ok,9654.148569020645,510.8066095569711,215.55612504007624,60.0,20.0,26.0,1772.3877309370378,12,12,2,0,18,2,15,15,20,0.008416333002969623
earliest_tw,18,True,ok,3402.6344599968656,517.1136632210668,401.8083131804782,60.0,20.0,26.0,520.1927930330531,8,30,2,0,25,2,15,15,27,0.00831345800543204
ml_ranker,18,True,ok,693.71016047491,410.7460182395049,297.08847687034034,60.0,20.0,26.0,10.3182266231305,1,22,2,0,21,2,15,15,23,0.008776167000178248
ortools_soft,18,True,ok,645.153195545355,378.37470828646826,263.0693582458797,60.0,20.0,26.0,10.3182266231305,1,19,2,0,18,2,15,15,20,10.00890137499664
random,19,True,ok,21198.82024005427,1016.7699290269161,621.1151439263834,60.0,210.0,895.2253172333532,3755.688005856109,14,61,13,18,41,0,15,15,59,0.010236583999358118
